Title,Artist,Album,Runtime
"Shout","Tears for Fears","Songs from the Big Chair","6:33"
"The Working Hour","Tears for Fears","Songs from the Big Chair","6:30"
"Everybody Wants to Rule the World","Tears for Fears","Songs from the Big Chair","4:11"
"Mothers Talk","Tears for Fears","Songs from the Big Chair","5:09"
"I Believe","Tears for Fears","Songs from the Big Chair","4:54"
"Broken","Tears for Fears","Songs from the Big Chair","2:38"
"Head Over Heels","Tears for Fears","Songs from the Big Chair","5:02"
"Listen","Tears for Fears","Songs from the Big Chair","6:54"
"Good Times Bad Times","Led Zeppelin","Led Zeppelin","2:46"
"Babe I'm Gonna Leave You","Led Zeppelin","Led Zeppelin","6:41"
"You Shook Me","Led Zeppelin","Led Zeppelin","6:28"
"Dazed and Confused","Led Zeppelin","Led Zeppelin","6:26"
"Your Time Is Gonna Come","Led Zeppelin","Led Zeppelin","4:34"
"Black Mountain Side","Led Zeppelin","Led Zeppelin","2:13"
"Communication Breakdown","Led Zeppelin","Led Zeppelin","2:30"
"I Can't Quit You Baby","Led Zeppelin","Led Zeppelin","4:42"
"How Many More Times","Led Zeppelin","Led Zeppelin","8:28"
"Rosie","Jackson Browne","Running on Empty","3:37"
"You Love the Thunder","Jackson Browne","Running on Empty","3:52"
"Cocaine","Jackson Browne","Running on Empty","4:55"
"Shaky Town","Jackson Browne","Running on Empty","3:36"
"Love Needs a Heart","Jackson Browne","Running on Empty","3:28"
"Nothing but Time","Jackson Browne","Running on Empty","3:05"
"The Load-Out","Jackson Browne","Running on Empty","5:38"
"Stay","Jackson Browne","Running on Empty","3:24"
